pushPrice,update_price,barging_times,barging_price,transcycle
3.98,0.0,0.0,0.0,0
4.5,0.0,0.0,0.0,31
23.0,1.0,1.0,0.8999999999999986,3
20.5798,0.0,0.0,0.0,3
11.9,1.0,1.0,0.379999999999999,32
16.8799,3.0,3.0,1.6201000000000008,5
9.8,0.0,0.0,0.0,25
10.8,0.0,0.0,0.0,52
12.28,0.0,0.0,0.0,3
16.8,0.0,0.0,0.0,9
18.58,2.0,2.0,0.8000000000000007,6
11.42,0.0,0.0,0.0,6
9.7,0.0,0.0,0.0,14
8.6,1.0,1.0,0.08000000000000007,102
6.0,0.0,0.0,0.0,13
11.0,2.0,2.0,0.5,5
5.8,0.0,0.0,0.0,2
24.8,0.0,0.0,0.0,8
3.98,1.0,1.0,0.52,4
12.0,0.0,0.0,0.0,2
4.6,0.0,0.0,0.0,0
17.5,0.0,0.0,0.0,0
8.68,0.0,0.0,0.0,41
39.3,1.0,1.0,0.30000000000000426,2
6.55,1.0,1.0,0.2999999999999998,5
15.8,0.0,0.0,0.0,4
5.5,0.0,0.0,0.0,57
27.8,2.0,2.0,1.0,5
7.3,0.0,0.0,0.0,42
1.24,1.0,1.0,0.71,58
7.5,0.0,0.0,0.0,2
38.5,0.0,0.0,0.0,1
2.98,1.0,1.0,0.41999999999999993,8
5.18,1.0,1.0,0.7000000000000002,4
15.46,0.0,0.0,0.0,5
1.35,1.0,1.0,0.6499999999999999,1
18.8799,1.0,1.0,0.12010000000000076,20
71.6,1.0,1.0,-1.0,4
42.8,0.0,0.0,0.0,24
18.9,0.0,0.0,0.0,45
4.88,1.0,1.0,0.10000000000000053,2
3.5,0.0,0.0,0.0,3
1.25,0.0,0.0,0.0,24
11.2,0.0,0.0,0.0,7
15.0,0.0,0.0,0.0,112
25.8,0.0,0.0,0.0,19
6.8,3.0,3.0,0.35000000000000053,4
6.3,0.0,0.0,0.0,10
2.94,2.0,2.0,1.06,0
5.2,0.0,0.0,0.0,47
8.8,0.0,0.0,0.0,6
6.8,0.0,0.0,0.0,1
3.6,0.0,0.0,0.0,3
12.8,0.0,0.0,0.0,11
6.87,2.0,2.0,81.72999999999999,8
16.4999,1.0,1.0,0.8800999999999988,98
5.9,0.0,0.0,0.0,13
14.68,0.0,0.0,0.0,14
11.58,0.0,0.0,0.0,7
10.8,0.0,0.0,0.0,1
27.8,0.0,0.0,0.0,14
2.4,0.0,0.0,0.0,23
8.4,0.0,0.0,0.0,83
7.0,0.0,0.0,0.0,3
4.1,2.0,2.0,0.1800000000000006,1
13.5,0.0,0.0,0.0,17
14.9,0.0,0.0,0.0,5
3.5,0.0,0.0,0.0,1
13.1,0.0,0.0,0.0,0
3.98,0.0,0.0,0.0,69
18.38,3.0,3.0,0.5,0
3.98,1.0,1.0,0.3999999999999999,5
10.2,6.0,6.0,2.3000000000000007,0
6.38,0.0,0.0,0.0,44
6.38,1.0,1.0,0.5,3
38.88,0.0,0.0,0.0,5
13.8,0.0,0.0,0.0,24
9.2,5.0,5.0,0.7800000000000011,26
16.28,0.0,0.0,0.0,15
27.5,0.0,0.0,0.0,29
14.58,1.0,1.0,0.6999999999999993,3
25.0,0.0,0.0,0.0,2
28.6,1.0,1.0,0.1999999999999993,54
17.88,0.0,0.0,0.0,38
0.99,0.0,0.0,0.0,8
1.68,1.0,1.0,0.19999999999999996,0
4.8,0.0,0.0,0.0,1
23.5,1.0,1.0,0.3000000000000007,11
17.3799,1.0,1.0,0.5200999999999993,32
15.8,1.0,1.0,1.1999999999999993,6
11.6,0.0,0.0,0.0,7
40.0,0.0,0.0,0.0,33
3.4,0.0,0.0,0.0,1
15.88,1.0,1.0,1.7200000000000006,60
5.82,2.0,2.0,1.1600000000000001,7
19.5,0.0,0.0,0.0,9
9.8,0.0,0.0,0.0,12
14.38,0.0,0.0,0.0,88
28.8,1.0,1.0,-0.10000000000000142,7
6.6,1.0,1.0,0.28000000000000025,7
22.0,3.0,3.0,0.879999999999999,3
15.3,0.0,0.0,0.0,21
9.6,0.0,0.0,0.0,104
2.1,0.0,0.0,0.0,1
26.98,0.0,0.0,0.0,3
8.5,0.0,0.0,0.0,12
5.68,0.0,0.0,0.0,5
8.5,0.0,0.0,0.0,2
21.0,1.0,1.0,1.5798999999999985,7
1.28,0.0,0.0,0.0,13
4.8,0.0,0.0,0.0,11
8.9799,4.0,4.0,1.0000999999999998,10
2.4,0.0,0.0,0.0,12
9.8,0.0,0.0,0.0,14
3.28,0.0,0.0,0.0,12
1.6,1.0,1.0,0.19999999999999996,1
10.0,0.0,0.0,0.0,46
7.5,0.0,0.0,0.0,12
19.0,1.0,1.0,0.5,15
9.8,0.0,0.0,0.0,17
4.6,1.0,1.0,0.20000000000000018,9
10.8,4.0,4.0,1.0,9
9.64,1.0,1.0,0.7400000000000002,40
13.18,1.0,1.0,0.5,6
21.8,0.0,0.0,0.0,20
17.8,1.0,1.0,1.0,36
2.99,0.0,0.0,0.0,29
5.75,4.0,4.0,0.04999999999999982,3
3.5,0.0,0.0,0.0,41
0.98,0.0,0.0,0.0,6
13.2,0.0,0.0,0.0,8
4.3,2.0,2.0,0.6100000000000003,38
4.3,0.0,0.0,0.0,1
4.98,0.0,0.0,0.0,4
26.2,0.0,0.0,0.0,9
36.1,0.0,0.0,0.0,6
14.7,3.0,3.0,0.4800000000000004,23
18.8,2.0,2.0,3.0,8
41.8,0.0,0.0,0.0,26
2.78,2.0,2.0,0.52,3
3.65,1.0,1.0,0.1499999999999999,5
3.2,2.0,2.0,0.2999999999999998,1
2.5,0.0,0.0,0.0,1
11.0,0.0,0.0,0.0,14
26.68,0.0,0.0,0.0,117
1.88,0.0,0.0,0.0,41
24.8,0.0,0.0,0.0,20
6.8,0.0,0.0,0.0,0
9.7,0.0,0.0,0.0,11
75.0,1.0,1.0,2.5,6
14.2,0.0,0.0,0.0,9
8.99,0.0,0.0,0.0,11
4.2,0.0,0.0,0.0,6
3.8,0.0,0.0,0.0,2
17.58,0.0,0.0,0.0,6
84.5,1.0,1.0,1.0,3
4.8,0.0,0.0,0.0,6
1.68,0.0,0.0,0.0,66
14.9,2.0,2.0,1.0,17
10.98,0.0,0.0,0.0,14
4.5,0.0,0.0,0.0,29
34.5,0.0,0.0,0.0,39
9.2,0.0,0.0,0.0,8
17.0,3.0,3.0,1.9800000000000004,63
0.88,0.0,0.0,0.0,12
10.98,0.0,0.0,0.0,21
10.8,0.0,0.0,0.0,34
12.36,0.0,0.0,0.0,10
3.65,0.0,0.0,0.0,2
8.9,1.0,1.0,1.0,3
8.5,0.0,0.0,0.0,64
19.0,3.0,3.0,0.6000000000000014,3
14.6,0.0,0.0,0.0,86
8.6,0.0,0.0,0.0,20
11.75,0.0,0.0,0.0,36
2.09,0.0,0.0,0.0,0
6.5,1.0,1.0,0.09999999999999964,12
9.7,0.0,0.0,0.0,3
6.98,1.0,1.0,0.21999999999999975,14
13.68,2.0,2.0,0.8000000000000007,2
38.8,0.0,0.0,0.0,34
20.8799,1.0,1.0,1.0000999999999998,0
14.5,0.0,0.0,0.0,10
15.98,0.0,0.0,0.0,9
6.8,0.0,0.0,0.0,5
7.08,1.0,1.0,0.20000000000000018,5
16.8,0.0,0.0,0.0,3
8.0,1.0,1.0,0.3000000000000007,32
6.3,0.0,0.0,0.0,4
5.15,0.0,0.0,0.0,52
6.2,0.0,0.0,0.0,5
8.2,0.0,0.0,0.0,2
24.0,0.0,0.0,0.0,4
14.96,1.0,1.0,0.3899999999999988,17
7.28,0.0,0.0,0.0,15
7.9,0.0,0.0,0.0,8
58.0,0.0,0.0,0.0,15
