carid,pushDate,pushPrice,updatePriceTimeJson
4449,2021-09-12,12.58,"""{""""2021-09-17"""": """"12.45""""}"""
1184,2021-07-14,7.8,"""{""""2021-08-31"""": """"7.4""""}"""
1435,2021-08-30,13.3,{}
70693,2021-08-07,5.3,{}
749,2021-07-22,7.8,"""{""""2021-08-15"""": """"6.9"""", """"2021-08-29"""": """"6.39""""}"""
563,2021-10-14,2.4,{}
1187,2021-09-19,1.0,{}
38771,2021-11-14,19.5,{}
34164,2021-07-16,14.88,"""{""""2021-07-20"""": """"14.58"""", """"2021-08-06"""": """"13.58""""}"""
68761,2021-10-29,16.9,"""{""""2021-10-30"""": """"17.6""""}"""
14026,2021-04-15,7.28,"""{""""2021-07-13"""": """"1.8"""", """"2021-08-01"""": """"1.6""""}"""
1146,2021-07-25,8.2,"""{""""2021-08-01"""": """"7.2"""", """"2021-09-23"""": """"6.0""""}"""
61989,2021-08-24,20.0,{}
412,2021-08-21,11.9,{}
43991,2021-09-15,7.98,{}
1325,2021-08-17,5.7,{}
604,2021-09-02,6.8,"""{""""2021-09-07"""": """"6.065""""}"""
17,2021-07-22,12.8,"""{""""2021-08-07"""": """"12.7""""}"""
35849,2021-07-18,6.98,"""{""""2021-08-02"""": """"6.75""""}"""
5216,2021-09-23,2.2,{}
959,2021-09-12,2.5,{}
53518,2021-09-28,28.98,{}
11,2021-08-09,15.2,{}
64660,2021-09-29,15.38,{}
628,2021-08-26,3.7,{}
31875,2021-10-08,6.9,{}
8599,2021-08-09,42.0,"""{""""2021-08-22"""": """"41.68""""}"""
17829,2021-08-20,14.98,{}
645,2021-08-02,7.8,{}
19339,2021-09-17,2.3,{}
1231,2021-09-26,0.8,{}
1220,2021-09-28,19.9,{}
1370,2021-09-13,4.1,{}
5596,2021-08-11,1.4,"""{""""2021-08-20"""": """"1.3""""}"""
45512,2021-08-06,12.6,{}
211,2021-08-08,8.8,"""{""""2021-08-09"""": """"8.61""""}"""
13090,2021-08-10,25.8,{}
750,2021-09-18,3.1,{}
37831,2021-09-04,24.58,{}
2044,2021-08-14,3.8,"""{""""2021-08-16"""": """"3.5"""", """"2021-08-23"""": """"3.3""""}"""
21572,2021-10-11,5.5,"""{""""2021-10-16"""": """"5.38""""}"""
1066,2021-08-07,16.28,{}
69994,2021-08-12,29.88,{}
69589,2021-10-21,16.8,"""{""""2021-11-04"""": """"15.8"""", """"2021-11-11"""": """"15.98"""", """"2021-11-15"""": """"16.25""""}"""
475,2021-10-10,4.09,{}
7202,2021-10-01,10.8,{}
1312,2021-08-16,2.2,{}
51553,2021-08-01,27.56,"""{""""2021-09-22"""": """"26.59""""}"""
1414,2021-10-06,5.9,{}
28929,2021-10-28,4.98,{}
12688,2021-08-30,18.28,{}
1207,2021-09-12,18.2,"""{""""2021-09-13"""": """"17.98""""}"""
6899,2021-06-08,18.5,"""{""""2021-06-20"""": """"17.98"""", """"2021-09-04"""": """"18"""", """"2021-09-15"""": """"20""""}"""
1237,2021-09-05,3.9999,{}
38578,2021-08-30,10.3,{}
62519,2021-11-11,4.2,{}
7295,2021-10-21,0.88,{}
56618,2021-08-02,7.88,"""{""""2021-08-20"""": """"7.78""""}"""
4660,2021-08-12,7.5,{}
100,2021-07-24,0.5,"""{""""2021-08-12"""": """"0.88"""", """"2021-08-29"""": """"0.78"""", """"2021-09-07"""": """"0.48""""}"""
1171,2021-07-19,3.8,"""{""""2021-08-03"""": """"3.3""""}"""
1549,2021-08-30,30.5,"""{""""2021-09-14"""": """"28.8""""}"""
1564,2021-07-22,1.8,"""{""""2021-08-29"""": """"1.5"""", """"2021-09-07"""": """"1.25""""}"""
223,2021-08-06,11.5,"""{""""2021-08-13"""": """"11.3""""}"""
83,2021-07-22,10.0,"""{""""2021-08-14"""": """"9.88""""}"""
32124,2021-08-21,14.2,"""{""""2021-08-29"""": """"13.9"""", """"2021-09-08"""": """"13.6""""}"""
9304,2021-07-31,21.98,"""{""""2021-08-14"""": """"23.8""""}"""
35402,2021-09-26,67.5,{}
58749,2021-07-30,3.58,"""{""""2021-07-31"""": """"3.28"""", """"2021-08-06"""": """"3.18""""}"""
29500,2021-08-31,22.58,{}
66522,2021-11-07,39.6,{}
1186,2021-08-04,8.0,{}
7663,2021-09-02,36.6,{}
63427,2021-10-06,72.8,{}
398,2021-08-31,5.35,{}
64359,2021-07-23,37.2,"""{""""2021-08-11"""": """"36.58"""", """"2021-08-21"""": """"36.28"""", """"2021-09-04"""": """"35.98""""}"""
63778,2021-10-26,4.98,{}
1099,2021-09-03,2.69,{}
63817,2021-09-04,21.3,{}
1217,2021-08-20,3.1,{}
38715,2021-07-08,26.58,"""{""""2021-07-09"""": """"26.35"""", """"2021-09-14"""": """"12.5"""", """"2021-09-15"""": """"12.2299"""", """"2021-10-09"""": """"12""""}"""
987,2021-08-15,3.5,{}
418,2021-09-12,9.2,"""{""""2021-09-21"""": """"9"""", """"2021-10-10"""": """"8.48""""}"""
61543,2021-07-23,1.6,"""{""""2021-08-01"""": """"1.3""""}"""
552,2021-08-07,4.15,{}
16571,2021-11-18,6.3,{}
1296,2021-08-26,5.7,"""{""""2021-09-02"""": """"5.5""""}"""
67593,2021-09-18,8.1,{}
53968,2021-11-12,11.22,{}
27812,2021-08-14,15.5,{}
1291,2021-09-06,3.6,{}
51967,2021-09-14,8.5,"""{""""2021-09-17"""": """"8.2""""}"""
2206,2021-07-23,3.85,"""{""""2021-08-03"""": """"3.8"""", """"2021-08-05"""": """"3.6""""}"""
161,2021-08-26,29.8,"""{""""2021-09-11"""": """"28.8""""}"""
4918,2021-09-01,1.1,{}
8576,2021-10-08,29.98,{}
25677,2021-09-09,38.58,{}
22324,2021-10-30,6.5,{}
